account_id,company_name,industry_segment,account_manager,annual_revenue,device_count,tenure_months,contract_type,days_to_contract_renewal,auto_renewal_enabled,ctn_count,pct_lines_disconnected_90d,monthly_charges,avg_invoice_delay_days,late_payments_12mo,autopay_enabled,support_tickets_90d,support_calls_90d,avg_resolution_time_hours,escalations_90d,csat_score,platform_logins_90d,days_since_last_login,self_service_completion_rate,upgrade_funnel_abandon_rate,primary_dropoff_page,dropoff_severity,rate_plan_changes_90d,feature_adoption_count,device_upgrades_90d,accessory_purchases_90d,churn_label
ACC-100000,"Rodriguez, Figueroa and Sanchez",Government,AM-013,34968.03,44,34,1-Year,120,0,50,0.7,2718.73,3.9,0,1,0,1,11.2,0,10.0,11,28,0.55,0.17,Order Confirmation,0.08,0,5,0,0,0
ACC-100001,Doyle Ltd,Pharmaceuticals,AM-006,26222.55,42,21,Month-to-Month,259,1,45,7.0,1957.02,9.4,2,1,0,4,14.4,2,10.0,11,0,0.82,0.23,Device Browse/Compare,0.33,0,6,0,0,0
ACC-100002,"Mcclain, Miller and Henderson",Logistics,AM-001,30242.63,46,19,1-Year,323,1,50,6.5,2246.22,1.1,1,0,5,1,21.6,0,8.9,10,54,0.81,0.42,Checkout / Payment,0.24,0,2,0,0,0
ACC-100003,Davis and Sons,Government,AM-004,37471.27,55,19,Month-to-Month,18,1,55,4.3,3153.35,4.8,2,1,3,2,11.4,0,8.7,15,54,0.9,0.29,Checkout / Payment,0.38,0,3,0,3,1
ACC-100004,"Guzman, Hoffman and Baldwin",Government,AM-022,34981.62,45,65,Month-to-Month,301,0,50,1.5,2673.34,2.4,2,0,3,0,4.0,0,4.7,12,6,0.59,0.19,Checkout / Payment,0.65,0,1,1,0,1
ACC-100005,"Gardner, Robinson and Lawrence",Hospitality,AM-017,30188.85,40,40,Month-to-Month,353,1,40,1.4,2191.93,0.6,3,1,1,1,1.5,0,7.7,9,12,0.97,0.28,Plan & Feature Selection,0.53,0,5,0,1,0
ACC-100006,Blake and Sons,Technology,AM-008,41675.81,46,16,Month-to-Month,92,1,49,3.8,3218.47,1.5,2,1,5,1,2.9,1,8.3,9,1,0.97,0.35,Add to Cart,0.58,0,6,0,0,0
ACC-100007,"Henderson, Ramirez and Lewis",Energy & Utilities,AM-025,32788.28,52,35,1-Year,164,0,54,2.8,2666.42,0.2,1,1,4,3,0.5,1,3.8,9,6,0.75,0.41,Checkout / Payment,0.14,2,2,0,0,1
ACC-100008,Garcia-James,Government,AM-009,26127.2,40,28,1-Year,144,1,41,2.8,1951.82,1.5,0,1,3,2,7.5,0,10.0,9,16,0.9,0.5,Login / Authentication,0.28,1,2,1,1,0
ACC-100009,Abbott-Munoz,Healthcare,AM-012,27401.08,36,3,1-Year,335,0,36,0.4,2011.09,0.3,1,0,4,0,10.3,0,7.3,11,12,0.66,0.4,Support Handoff,0.35,2,4,0,2,0
ACC-100010,Blair PLC,Pharmaceuticals,AM-019,38999.77,50,9,Month-to-Month,315,1,50,2.9,3045.13,10.4,0,1,1,3,24.7,2,5.9,9,0,0.9,0.74,Checkout / Payment,0.15,0,1,0,2,0
ACC-100011,Dudley Group,Pharmaceuticals,AM-008,22246.37,45,29,Month-to-Month,238,1,45,7.0,1804.9,0.4,2,0,4,2,8.8,0,5.6,11,4,0.85,0.42,Checkout / Payment,0.22,2,4,0,1,0
ACC-100012,Arnold Ltd,Manufacturing,AM-013,16359.69,26,61,1-Year,174,1,29,0.3,1258.17,6.8,1,0,5,3,6.1,0,7.9,9,54,0.5,0.04,Device Browse/Compare,0.19,0,3,0,0,1
ACC-100013,"Mcclure, Ward and Lee",Energy & Utilities,AM-021,22968.7,47,19,2-Year,83,1,49,1.2,1805.72,9.5,2,0,2,2,2.5,0,8.2,13,22,0.93,0.09,Support Handoff,0.08,0,3,0,1,0
ACC-100014,Williams and Sons,Manufacturing,AM-013,25412.01,44,15,Month-to-Month,157,0,46,2.1,2196.13,2.5,0,0,2,1,22.6,0,9.9,12,20,0.52,0.36,Plan & Feature Selection,0.51,2,1,1,2,1
ACC-100015,Galloway-Wyatt,Small Business / Retail,AM-018,25699.27,38,25,Month-to-Month,109,0,38,3.5,1980.33,0.2,0,1,1,2,23.6,0,5.9,11,9,0.77,0.1,Checkout / Payment,0.65,1,2,0,1,0
ACC-100016,James Group,Banking & Financial Services,AM-005,15622.23,35,14,2-Year,178,1,35,0.3,1309.31,3.6,1,0,3,3,13.3,0,7.4,15,2,0.35,0.15,Checkout / Payment,0.49,0,3,0,0,0
ACC-100017,"Flowers, Martin and Kelly",Government,AM-024,29136.43,42,18,Month-to-Month,250,0,42,6.2,2270.96,1.1,0,0,2,2,51.2,1,7.2,14,23,0.64,0.47,Checkout / Payment,0.4,2,3,1,1,0
ACC-100018,"Adams, Zuniga and Wong",Technology,AM-002,25733.78,48,23,2-Year,253,1,50,0.1,2068.67,0.8,0,0,2,1,8.8,0,6.7,5,2,0.67,0.2,Login / Authentication,0.56,0,1,1,1,0
ACC-100019,"Reid, Ferguson and Sanchez",Banking & Financial Services,AM-009,27670.61,51,9,1-Year,55,1,53,5.8,2158.25,3.3,5,1,3,2,5.1,0,6.2,12,34,0.64,0.09,Plan & Feature Selection,0.18,0,2,0,1,0
